Image_name|caption_number|caption
F001.jpg|0|Sepeda motor terparkir rapi di area parkir, sementara dua orang berjalan di latar belakang.
F001.jpg|1|Sepeda motor terparkir dengan rapi di area parkir, sementara beberapa orang melintas di belakang.
F001.jpg|2|lahan parkir di suatu gedung yang diisi beberapa motor 
F001.jpg|3|Area parkir sepeda motor dengan rantai pembatas dan orang-orang di sekitarnya.
F001.jpg|4|Banyak motor terparkir di sebelah kiri dan beberapa orang terlihat di depan sedang berada di dekat motor
F002.jpg|0|Tanda keluar (EXIT) tergantung di bawah atap, dikelilingi pepohonan hijau di luar.
F002.jpg|1|Tanda keluar yang jelas dan terlihat di bawah atap, dikelilingi oleh tanaman hijau.
F002.jpg|2|Tanda bertuliskan exit pada pintu kaca suatu gedung
F002.jpg|3|Tanda keluar yang menempel di atas pintu transparan
F002.jpg|4|Sebuah tulisan exit berada di bagian atas sebuah pintu kaca
F003.jpg|0|Tampilan interior kafe Tuku dengan menu, petunjuk pemesanan, dan suasana yang nyaman.
F003.jpg|1|Dalam toko kopi tuku terdapat area pemesanan dan pengambilan minuman. Terdapat seorang barista di balik counter, dan beberapa tanaman di bagian depan counter
F003.jpg|2|kasir dari cafe bernama Tuku dengan tanda 'pesan di sini' dan 'ambil di sini'
F003.jpg|3|Station kafe Tuku dengan banyak hiasan dan informasi menu
F003.jpg|4|Di depan terdapat beberapa tulisan di bagian atas serta beberapa tanaman menghiasi bagian bawah sebuah meja panjang
F004.jpg|0|Dinding kafe Tuku menampilkan logo, poster minuman, dan suasana yang modern dan ramah.
F004.jpg|1|Terdapat logo kopi tuku di papan putih dan lima poster kopi di samping kiri gambar logo
F004.jpg|2|papan dengan beberapa foto minuman serta logo Tuku di sebelah kanan
F004.jpg|3|Papan nama kafe Tuku dan poster-poster minuman yang dijual
F004.jpg|4|Poster menghiasi bagian atas sebuah dinding  dengan bagian bawah tampak seperti jaring-jaring
F005.jpg|0|Area kafe dengan tangga kuning, meja bar, tanaman hias, dan suasana yang bersih serta modern.
F005.jpg|1|Di samping kiri terdapat tangga berwarna kuning, beberapa tanaman gantung dan tas hitam tergantung di dinding counter
F005.jpg|2|tangga berwarna kuning di sebelah konter berwarna abu-abu
F005.jpg|3|Station Kafe Tuku di dekat tangga kuning, terdapat hiasan di station
F005.jpg|4|Di sebelah kiri sebuah meja panjang yang dihiasi beberapa tanaman tampak tangga berwarna kuning
F006.jpg|0|Tanaman hias di meja bar, dengan latar belakang area kafe dan sepeda motor di luar.
F006.jpg|1|Tanaman hias berwarna hijau di atas meja dengan dinding berwarna abu-abu di belakangnya
F006.jpg|2|tanaman berwarna hijau dengan dahan yang panjang menjulang ke bawah diletakkan di atas meja
F006.jpg|3|Pot tanaman hias kecil di atas meja station
F006.jpg|4|Tanaman di dalam pot berada di pojok meja di  dalam suatu ruangan
F007.jpg|0|Tanda keluar (EXIT) tergantung di bawah atap, dengan pemandangan hijau dan sepeda motor di luar.
F007.jpg|1|Tanda keluar (EXIT) yang jelas terlihat dengan latar belakang hijau dan sepeda motor.
F007.jpg|2|pintu keluar dari suatu gedung yang terbuat dari kaca tembus pandang dengan tulisan Tarik dan Dorong di dekat gagang pintu
F007.jpg|3|Pintu keluar transparan yang bisa ditarik atau didorong
F007.jpg|4|Sebuah pintu kaca dengan tanda exit di atas nya dan jauh di depan ada orang  di dekat lahan parkir paving
F008.jpg|0|Naik ke pengalaman baru dengan setiap langkah di tangga ceria ini!
F008.jpg|1|Tangga berwarna kuning dengan pegangan di sisi kiri. Di sampingnya, terdapat pintu pagar kawat berwarna abu-abu
F008.jpg|2|pintu bermotif jaring berwarna abu-abu di sebelah kanan tangga berwarna kuning
F008.jpg|3|Pintu masuk menuju station kafe Tuku di dekat tangga berwarna kuning
F008.jpg|4|Tangga berwarna kuning di sebelah kiri pintu bermotif jaring-jaring
F009.jpg|0|Rasakan kehangatan dan kesegaran di kafe ini, di mana setiap secangkir kopi diciptakan dengan cinta!
F009.jpg|1|Di dalam toko kopi terdapat seorang barista sedang bekerja, di bagian depan counter terdapat beberapa tanaman gantung dan tas hitam
F009.jpg|2|dinding abu-abu dengan berbagai macam ornamen yang menempel seperti tanaman, keranjang putih, serta tas
F009.jpg|3|Ada seorang pria di station tuku yang dihias dengan tanaman dan totebag
F009.jpg|4|Sebuah meja panjang yang bagian bawahnya dihiasi dengan beberapa tanaman serta di atas nya terdapat beberapa barang dan terdapat orang di dekat meja tersebut
F010.jpg|0|Suasana kafe dengan meja kayu, beberapa orang bekerja di laptop, dan tanaman hias di dinding.
F010.jpg|1|Beberapa orang duduk di meja kayu. Lantai berwarna biru dan putih dan sebuah toko kopi di belakangnya
F010.jpg|2|meja dan kursi yang berjejer di sisi kanan dan diisi oleh beberapa orang
F010.jpg|3|Beberapa orang duduk di kursi sambil mengerjakan sesuatu menggunakan laptop di atas meja
F010.jpg|4|Beberapa meja tampak di sebelah kanan denagn beberapa orang terlihat duduk di kursi dekat meja
F011.jpg|0|Temukan inspirasi dan kenyamanan di sudut kafe ini, tempat sempurna untuk bersantai atau bekerja!
F011.jpg|1|Area duduk dengan kursi hitam dan meja bundar di lantai kuning, terdapat beberapa orang duduk di belakang sekat kuning
F011.jpg|2|2 meja bundar di kelilingi oleh beberapa kursi berwarna abu-abu
F011.jpg|3|Ada beberapa kursi dan dua meja bundar di area  yang memiliki hiasan berwarna kuning
F011.jpg|4|Beberapa meja bulat di depan dengan kursi  berwarna biru di dekatnya 
F012.jpg|0|Selamat datang di Food Corner, tempat sempurna untuk menikmati hidangan lezat sambil bekerja atau bersantai!
F012.jpg|1|Seseorang duduk di meja dengan laptop, sementara di belakangnya terdapat area Food Corner
F012.jpg|2|Area food corner yang menjual geprek gepruk dan seorang pria duduk sendirian dengan laptopnya
F012.jpg|3|Food Corner di sekitar area bekerja yang terdiri dari banyak meja dan ada seseorang duduk sambil mengerjakan sesuatu di laptop
F012.jpg|4|Di depan terdapat  meja di sebelah kanan dengan seseorang sedang di dekat meja tersebut dan jauh di depan  terdapat tulisan "Food Corner"
F013.jpg|0|Area Food Corner dengan meja kayu, seorang pengunjung bekerja di laptop, dan suasana yang tenang.
F013.jpg|1|Seorang duduk di meja dengan laptop, sementara di belakangnya terdapat area Food Corner berwarna biru dengan tulisan 'Gepruk Geprek' berwarna kuning
F013.jpg|2|konter food corner berwarna biru dengan beberapa meja dan kursi berwarna coklat yang disusun dengan rapi
F013.jpg|3|Tempat bekerja yang memiliki banyak meja panjang dan sebuah Food Corner
F013.jpg|4|Di depan kiri dan kanan terdapat sesorang di dekat meja dan jauh di depan terdapat tulisan food corner
F014.jpg|0|Meja kayu dan kursi lipat di area kafe, menciptakan suasana santai dan nyaman untuk bersosialisasi.
F014.jpg|1|Dua kursi kayu menghadap meja di sebuah ruangan. Di sisi kanan, terdapat area melingkar berwarna kuning
F014.jpg|2|meja berwarna coklat disertai dengan 2 kursi berwarna coklat di atas lantai putih
F014.jpg|3|Sebuah meja dan dua buah kursi kosong di area bekerja
F014.jpg|4|Di depan terdapat meja dengan kursi yang berada di samping nya
F015.jpg|0|Area dengan meja kayu, lemari pendingin berisi minuman, dan poster informasi di dinding bata.
F015.jpg|1|Terdapat lemari pendingin berisi minuman di dekat dinding bata merah. Sebuah meja dengan dua kursi berada di sampingnya, sementara di kanan, seseorang duduk di dekat jendela
F015.jpg|2|3 kulkas yang berisi berbagai macam minuman terletak di pojok ruangan
F015.jpg|3|Dua buah kulkas minuman, sebuah meja, dan banner ITS PRESS di dekat dinding bata
F015.jpg|4|Di depan kiri terdapat meja dan kursi sementara kulkas berada di dekatnya
F016.jpg|0|Suasana kafe dengan meja dan kursi, beberapa orang bekerja di laptop, serta pencahayaan alami dari jendela.
F016.jpg|1|Beberapa orang duduk di meja panjang dekat jendela dan terdapat laptop di depannya. Di bagian tengah, ada dua kursi kayu dengan meja di depannya
F016.jpg|2|meja panjang yang menempel pada dinding sebelah kiri dan 3 orang duduk membuka laptop
F016.jpg|3|Tiga pria duduk berjarak di area kerja dengan meja panjang yang menempel di dinding
F016.jpg|4|Di depan terdapat meja dan kursi sementara di depan kiri terdapat kursi dan orang
F017.jpg|0|Selamat datang di area yang bersih dan nyaman, tempat sempurna untuk bersantai sambil menikmati berbagai minuman!
F017.jpg|1|Dua tempat sampah hitam dengan tutup kuning berada di dekat pintu masuk. Di sisi kanan, ada lemari pendingin berisi minuman dan meja kecil dengan kursi di dekatnya
F017.jpg|2|pintu kaca, meja dan kursi coklat, 3 buah kulkas, serta karpet di depan pintu
F017.jpg|3|Pintu masuk area kerja yang di sekitarnya terdapat keset, tempat sampah, dan meja
F017.jpg|4|Jauh di depan terdapat meja dan kursi serta kulkas berada di dekatnya sementara pintu kaca dan tempat sampah berada di sebelah kiri
F018.jpg|0|Area dengan meja bulat reflektif yang menciptakan suasana modern dan terbuka, menghadap jendela besar.
F018.jpg|1|Meja bulat reflektif di area modern ini memberikan suasana terbuka dengan pemandangan jendela besar.
F018.jpg|2|area tempat duduk yang terbuat dari batu menghadap jendela ke luar dilengkapi dengan stop kontak
F018.jpg|3|Tempat duduk lesehan berkeramik di dekat jendela sebagai bagian dari area kerja
F018.jpg|4|Jauh di depan terdapat beberapa mobil yang terparkir di dekat kaca jendela
F019.jpg|0|Meja dan kursi kayu di area dengan jendela besar, memancarkan suasana terang dan segar.
F019.jpg|1|Terdapat sebuah kursi di depan meja kayu yang berada di dekat kaca serta lantai berwarna biru dan putih
F019.jpg|2|lantai dengan 2 warna yang berbeda yaitu biru dan putih
F019.jpg|3|Sebuah kursi dan meja kayu berwarna coklat gelap untuk bekerja
F019.jpg|4|Di depan terdapat meja dan kursi sementara jauh di depan tampak beberapa mobil sedang  terparkir di dekat kaca jendela 
F020.jpg|0|Dinding dengan rak berisi tanaman hias, tas, dan berbagai barang, menciptakan suasana segar dan rapi.
F020.jpg|1|Dinding rapi dengan rak berisi tanaman hias dan barang-barang, menciptakan suasana yang segar.
F020.jpg|2|ornamen dinding berupa tanaman dalam pot, sandal, tas, dan beberapa benda lainnya di dalam keranjang putih
F020.jpg|3|Hiasan-hiasan station abu-abu muda berupa tanaman hias, totebag, dan barang-barang kafe
F020.jpg|4|Beberapa tanaman dan benda tampak di depan menempel di sebuah tembok
F021.jpg|0|Tampilan area pemesanan di kafe Tuku, dengan petunjuk jelas untuk memesan dan mengambil pesanan.
F021.jpg|1|Seorang barista sedang bekerja di toko kopi Tuku. Di atasnya, terdapat papan menu dan tanda 'Pesan di Sini' serta 'Ambil di Sini'
